AAPL
ADI
AEP
ALGN
AMAT
AMD
AMGN
AMZN
ASML
ATVI
AVGO
AZN
BIIB
BKNG
CDNS
CMCSA
COST
CPRT
CSCO
CSGP
CSX
CTSH
DXCM
EA
EBAY
FAST
FTNT
GILD
GOOG
GOOGL
HON
INTC
ISRG
KDP
KLAC
LULU
MAR
MCHP
MDLZ
MELI
MRVL
MSFT
MU
NFLX
NVDA
NXPI
ODFL
ORLY
PAYX
PCAR
QCOM
REGN
ROST
SBUX
SGEN
SIRI
SNPS
TMUS
TSLA
TXN
VRSK
VRTX
WBD
XEL
